Pakistan_Crop_Name,FAO_Item_Name,FAO_Code,HS_Code,HS_Description,FABLE_Category,Action,Conv_Factor
Not grown,Natural rubber,836,4001.10,Natural rubber latex,FIBERINDUS,INCLUDE,1.00
Not grown,Natural rubber,836,4001.21,"Natural rubber, smoked sheets (RSS)",FIBERINDUS,INCLUDE,1.00
Not grown,Natural rubber,836,4001.22,Technically specified natural rubber (TSNR),FIBERINDUS,INCLUDE,1.00
Not grown,Natural rubber,836,4001.29,Other natural rubber,FIBERINDUS,INCLUDE,1.00
"Abaca, sisal — not in Pakistan",Hard fibers,—,5305.00,"Coir, abaca, sisal, other veg fibres",FIBERINDUS,ZERO/N/A,—
Not grown,Soft fibers,—,5301.00,"Flax, raw or processed",FIBERINDUS,ZERO/N/A,—
Seed Cotton,Cotton seed,329,1207.21,"Cotton seeds, whether or not broken",OLSOIL,INCLUDE,1.00
Seed Cotton,Cotton seed,329,1207.29,"Cotton seeds, other than for sowing (crushing/feed)",OLSOIL,INCLUDE,1.00
Rapeseed & Mustard (R&M Seed),Rapeseed + Mustard (R&M),270,1205.10,Low erucic acid rape/colza seeds (incl. canola),OLSOIL,INCLUDE,1.00
Rapeseed & Mustard (R&M Seed),Rapeseed + Mustard (R&M),270,1205.90,Other rape or colza seeds,OLSOIL,INCLUDE,1.00
Rapeseed & Mustard (R&M Seed),Rapeseed + Mustard (R&M),270,1205.00,Rape or colza seeds (pre-2002 code),OLSOIL,INCLUDE,1.00
Rapeseed & Mustard (R&M Seed),Mustard seed,292,1207.50,Mustard seeds (Sarsoon),OLSOIL,INCLUDE,1.00
Sesamum,Sesame seed,289,1207.40,Sesamum seeds,OLSOIL,INCLUDE,1.00
Sunflower,Sunflower seed,267,1206.00,Sunflower seeds,OLSOIL,INCLUDE,1.00
Not grown,Oil palm fruit,254,1207.10,Palm nuts and kernels,OLSOIL,INCLUDE,1.00
Emerging,Olives,260,0709.92,"Olives, fresh or chilled",OLSOIL,INCLUDE,1.00
Emerging,Olives,260,0711.20,"Olives, provisionally preserved",OLSOIL,ZERO/N/A,—
Raw material (soybean) unavailable,Soya bean oil,237,1507.10,"Soya-bean oil, crude",OLSOIL,INCLUDE,1.00
Raw material (soybean) unavailable,Soya bean oil,237,1507.90,"Soya-bean oil, refined/fractions",OLSOIL,INCLUDE,1.00
Derived from coconut,Coconut oil,252,1513.11,"Coconut (copra) oil, crude",OLSOIL,INCLUDE,1.00
Derived from coconut,Coconut oil,252,1513.19,"Coconut (copra) oil, refined",OLSOIL,INCLUDE,1.00
Derived from coconut,Coconut oil,252,1513.21,"Palm kernel/babassu oil, crude",OLSOIL,EXCLUDE,—
Derived from groundnut,Groundnut oil,244,1508.10,"Ground-nut oil, crude",OLSOIL,INCLUDE,1.00
Derived from groundnut,Groundnut oil,244,1508.90,"Ground-nut oil, refined/fractions",OLSOIL,INCLUDE,1.00
Not produced,Palm oil,257,1511.10,"Palm oil, crude",OLSOIL,INCLUDE,1.00
Not produced,Palm oil,257,1511.90,"Palm oil, refined fractions",OLSOIL,INCLUDE,1.00
Not produced,Palm oil,257,1513.21,"Palm kernel oil, crude",OLSOIL,EXCLUDE,—
Not produced,Palm oil,257,1513.29,"Palm kernel oil, refined",OLSOIL,EXCLUDE,—
Linseed + Safflower + Castorseed,Sunflower-seed oil; crude;Safflower-seed oil; crude,268;281,1512.11,"Sunflower/safflower oil, crude",OLSOIL,INCLUDE,1.00
Linseed + Safflower + Castorseed,Sunflower-seed oil; crude;Safflower-seed oil; crude,268;281,1512.19,"Sunflower/safflower oil, refined",OLSOIL,INCLUDE,1.00
Linseed + Safflower + Castorseed,Rapeseed or canola oil; crude,271,1514.11,"Low erucic rape/mustard oil, crude",OLSOIL,INCLUDE,1.00
Linseed + Safflower + Castorseed,Rapeseed or canola oil; crude,271,1514.19,"Low erucic rape/mustard oil, refined",OLSOIL,INCLUDE,1.00
Linseed + Safflower + Castorseed,Oil of linseed,334,1515.11,"Linseed oil, crude",OLSOIL,INCLUDE,1.00
Linseed + Safflower + Castorseed,Oil of linseed,334,1515.19,"Linseed oil, refined",OLSOIL,INCLUDE,1.00
Derived from seed cotton,Cake of cottonseed,332,2306.10,Oilcake from cottonseed,OLSCAKE,INCLUDE,1.00
Derived from groundnut,Groundnut cake,245,2305.00,Oilcake and residues from groundnuts,OLSCAKE,INCLUDE,1.00
Derived from rapeseed,Cake of rapeseed,272,2306.41,Oilcake from low erucic rapeseed,OLSCAKE,INCLUDE,1.00
Derived from rapeseed,Cake of rapeseed,272,2306.49,Oilcake from other rapeseed,OLSCAKE,INCLUDE,1.00
Derived from other oilseeds,Other oilseed cakes,—,2304.00,Oilcake from soybean,OLSCAKE,EXCLUDE,—
Derived from other oilseeds,Cake of linseed,335,2306.20,Oilcake from linseed,OLSCAKE,INCLUDE,1.00
Derived from other oilseeds,Cake of sesame seed;Cake of safflowerseed;Cake of sunflower seed,291;282;269,2306.90,Oilcake from sesame/safflower/sunflower,OLSCAKE,INCLUDE,1.00
Gram,Chick peas; dry,191,0713.20,"Chickpeas (garbanzos), dried shelled",PULSES,INCLUDE,1.00
Mung Bean,Beans; dry,176,0713.31,"Mung beans (Vigna radiata), dried",PULSES,INCLUDE,1.00
Masoor (lentil) + Mash Bean,"Lentils, dry",201,0713.40,"Lentils, dried shelled",PULSES,INCLUDE,1.00
Masoor (lentil) + Mash Bean,Beans; dry,176,0713.32,Small red/adzuki beans,PULSES,INCLUDE,1.00
Masoor (lentil) + Mash Bean,Beans; dry,176,0713.39,Other Vigna beans (mash/urad dal),PULSES,INCLUDE,1.00
Peas / Garden Peas,"Peas, dry",187,0713.10,"Peas (pisum sativum), dried shelled",PULSES,INCLUDE,1.00
Peas / Garden Peas,"Peas, dry",187,0708.10,"Peas, fresh or chilled",PULSES,EXCLUDE,—
Guarseed + Mattar (dry peas),Broad beans and horse beans; dry,181,0713.50,"Broad beans / horse beans, dried",PULSES,INCLUDE,1.00
Guarseed + Mattar (dry peas),Pigeon peas; dry,197,0713.60,Pigeon peas (cajanus cajan),PULSES,INCLUDE,1.00
Guarseed + Mattar (dry peas),Other pulses n.e.c.,211,0713.90,"Other leguminous vegetables, dried",PULSES,INCLUDE,1.00
Guarseed,—,—,1207.99,Other oil seeds/oleaginous fruits (incl. guar),PULSES,INCLUDE,1.00
Guar gum,—,—,1302.32,Mucilages and thickeners of guar seeds,PULSES,CONVERT,3.45
Groundnut,Groundnuts,242,1202.10,Ground-nuts; in shell,OLSOIL,INCLUDE,1.00
Groundnut,Groundnuts,242,1202.41,"Ground-nuts; other than seed, in shell",OLSOIL,INCLUDE,1.00
Groundnut,Groundnuts; shelled,243,1202.20,"Ground-nuts; shelled, whether or not broken",OLSOIL,CONVERT,1.25
Groundnut,Groundnuts; shelled,243,1202.42,"Ground-nuts; other than seed, shelled, whether or not broken",OLSOIL,CONVERT,1.25
Soybean,Soybeans,236,1201.00,Soya beans (pre-2012 code),PULSES,INCLUDE,1.00
Soybean,Soybeans,236,1201.10,Soya beans — seed,PULSES,INCLUDE,1.00
Soybean,Soybeans,236,1201.90,Soya beans — other,PULSES,INCLUDE,1.00
Potato,Potatoes,116,0701.10,"Potatoes, seed",ROOTS,INCLUDE,1.00
Potato,Potatoes,116,0701.90,"Potatoes, fresh or chilled",ROOTS,INCLUDE,1.00
Potato,Potatoes,116,2004.10,"Potatoes, frozen (prepared)",ROOTS,EXCLUDE,—
Potato,Flour; meal; powder; flakes; granules and pellets of potatoes,117,1108.13,Potato starch,ROOTS,CONVERT,6.67
Sweet Potato,Sweet potatoes,122,0714.20,Sweet potatoes,ROOTS,INCLUDE,1.00
Not grown,Cassava,125,0714.10,"Cassava, fresh or dried",ROOTS,ZERO/N/A,—
Not grown,Yams,137,0714.90,Other roots/tubers with high starch,ROOTS,ZERO/N/A,—
No other tubers in Pakistan,Other tubers,—,0714.99,Other roots/tubers,ROOTS,ZERO/N/A,—
Apple,Apples,515,0808.10,"Apples, fresh",FRUVEG,INCLUDE,1.00
Banana,Bananas,486,0803.10,"Plantains, fresh or dried",FRUVEG,EXCLUDE,—
Banana,Bananas,486,0803.00,"Bananas, including plantains (pre-2012 code)",FRUVEG,INCLUDE,1.00
Banana,Bananas,486,0803.90,"Bananas, fresh or dried",FRUVEG,INCLUDE,1.00
Coconut,"Coconuts, desiccated",250,0801.11,"Coconuts, desiccated",FRUVEG,INCLUDE,1.00
Coconut,Coconuts,249,0801.12,"Coconuts, fresh in shell",FRUVEG,INCLUDE,1.00
Coconut,Coconuts,249,1513.11,Coconut oil,FRUVEG,EXCLUDE,—
Dates / Khajoor,Dates,577,0804.10,"Dates, fresh or dried",FRUVEG,INCLUDE,1.00
Grapes,Grapes,560,0806.10,"Grapes, fresh",FRUVEG,INCLUDE,1.00
Grapes,Raisins,561,0806.20,"Grapes, dried (raisins)",FRUVEG,CONVERT,2.86
Not tabulated,Grapefruit,507,0805.40,"Grapefruit, incl. pomelos",FRUVEG,INCLUDE,1.00
Not tabulated,Lemons/limes,497,0805.50,Lemons and limes,FRUVEG,INCLUDE,1.00
Onion,"Onions, dry",403,0703.10,"Onions and shallots, fresh or chilled",FRUVEG,INCLUDE,1.00
Onion,"Onions, dry",403,0703.20,"Garlic, fresh or chilled",FRUVEG,EXCLUDE,—
Onion,—,—,0712.20,"Onions, dried",FRUVEG,CONVERT,9.00
Citrus (Kino dominant),Oranges,490,0805.10,"Oranges, fresh or dried",FRUVEG,INCLUDE,1.00
Citrus (Kino dominant),"Tangerines, mandarins, clementines",495,0805.20,"Mandarins, tangerines, kino",FRUVEG,INCLUDE,1.00
Citrus (Kino dominant),"Tangerines, mandarins, clementines",495,0805.21,"Mandarins, tangerines, satsumas",FRUVEG,INCLUDE,1.00
Citrus (Kino dominant),"Tangerines, mandarins, clementines",495,0805.22,Clementines,FRUVEG,INCLUDE,1.00
Citrus (Kino dominant),"Tangerines, mandarins, clementines",495,0805.29,"Tangelos, wilkings and similar citrus hybrids",FRUVEG,INCLUDE,1.00
Not grown,Pineapples,574,0804.30,"Pineapples, fresh or dried",FRUVEG,ZERO/N/A,—
Not grown,Plantains,489,0803.10,Plantains,FRUVEG,INCLUDE,1.00
Tomatoes,Tomatoes,388,0702.00,"Tomatoes, fresh or chilled",FRUVEG,INCLUDE,1.00
Tomatoes,Tomatoes,388,2002.10,"Tomatoes, prepared/canned",FRUVEG,EXCLUDE,—
Malta + Kino sub-types + Lemon,Other citrus fruit; n.e.c.,512,0805.90,"Other citrus fruit, fresh or dried",FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Mangoes; guavas and mangosteens,571,0804.50,"Guavas, mangoes, mangosteens",FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Other fruits,—,0804.40,Avocados,FRUVEG,EXCLUDE,—
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Pears,521,0808.30,"Pears, fresh",FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Apricots,526,0809.10,"Apricots, fresh",FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Cherries,531,0809.29,Cherries (other than sour),FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Peaches and nectarines,534,0809.30,"Peaches, incl. nectarines",FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Plums and sloes,536,0809.40,Plums and sloes,FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Raspberries,547,0810.20,Raspberries/blackberries/mulberries,FRUVEG,INCLUDE,1.00
Guava+Peach+Apricot+Plum+Pomegranate+Pear+Cherry+Fig+Strawberry+Mango+Ber+Loquat+Papaya+Chikoo+Melons+others,Other fruits; n.e.c.,619,0810.90,"Other fruit, fresh (pomegranate, ber, loquat)",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,—,—,0703.20,"Garlic, fresh",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Cauliflowers and broccoli,393,0704.10,"Vegetables, brassica; cauliflowers and broccoli, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,—,—,0704.20,"Vegetables, brassica; brussel sprouts, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,—,—,0704.90,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Carrots and turnips,426,0706.10,"Vegetables, root; carrots and turnips, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,—,—,0706.90,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Cucumbers and gherkins,397,0707.00,Cucumbers and gherkins,FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Artichokes,366,0709.10,Globe artichokes,FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Asparagus,367,0709.20,"Vegetables; asparagus, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Eggplants (aubergines),399,0709.30,"Vegetables; aubergines, (e.g. plants), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,—,—,0709.40,"Vegetables; celery (other than celeriac), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.51,"Vegetables; mushrooms of the genus Agaricus, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.52,"Vegetables; mushrooms of the genus Boletus, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.53,"Vegetables; mushrooms of the genus Cantharellus, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.54,"Vegetables; shiitake mushrooms (Lentinus edodes), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.55,"Vegetables; matsutake mushrooms (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.56,"Vegetables; truffles (Tuber spp.), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Mushrooms and truffles,449,0709.59,"Vegetables; truffles and mushrooms n.e.c. in heading 0709, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Chillies and peppers; green (Capsicum spp. and Pimenta spp.),401,0709.60,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Spinach,373,0709.70,"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Other vegetables; fresh n.e.c.,463,0709.90,Other,FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Artichokes,366,0709.91,"Vegetables; globe artichokes, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Pumpkins; squash and gourds,394,0709.93,"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Other vegetables; fresh n.e.c.,463,0709.99,"Vegetables; edible, n.e.c. in chapter 07, fresh or chilled",FRUVEG,INCLUDE,1.00
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Other vegetables,—,0702.00,Tomatoes,FRUVEG,EXCLUDE,—
Lady Finger+Brinjal+Bitter Gourd+Bottle Gourd+Pumpkin+Cucumber+Radish+Turnip+Carrot+Spinach+Cauliflower+Cabbage+Tinda+others,Other vegetables,—,0712.20,Dried onion,FRUVEG,EXCLUDE,—
Walnut + Almond + Pistachio,Almonds; in shell,221,0802.11,"Almonds, in shell",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Almonds; shelled,231,0802.12,"Almonds, shelled",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Walnuts; in shell,222,0802.31,"Walnuts, in shell",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Walnuts; shelled,232,0802.32,"Walnuts, shelled",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Pistachios; in shell,223,0802.50,Pistachios (pre-2012 code),NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Pistachios; in shell,223,0802.51,"Pistachios, in shell",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Pistachios; in shell,223,0802.52,"Pistachios, shelled",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.,234,0802.90,"Other tree nuts (pine, macadamia)",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,—,—,0802.91,"Pine nuts, in shell",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,—,—,0802.92,"Pine nuts, shelled",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.,234,0802.99,"Other nuts n.e.c., fresh or dried",NUTS,INCLUDE,1.00
Walnut + Almond + Pistachio,Nuts,—,0801.10,Coconuts (desiccated),NUTS,EXCLUDE,—
Tobacco,"Tobacco, unmanuf.",826,2401.10,"Tobacco, not stemmed",BEVSPICES,INCLUDE,1.00
Tobacco,"Tobacco, unmanuf.",826,2401.20,"Tobacco, partly/wholly stemmed",BEVSPICES,INCLUDE,1.00
Tobacco,"Tobacco, unmanuf.",826,2401.30,Tobacco refuse,BEVSPICES,INCLUDE,1.00
Tobacco,"Tobacco, unmanuf.",826,2402.20,Cigarettes containing tobacco,BEVSPICES,EXCLUDE,—
Negligible,Tea,667,0902.10,"Green tea (not fermented), ≤3kg",BEVSPICES,INCLUDE,1.00
Negligible,Tea,667,0902.20,"Green tea, >3kg",BEVSPICES,INCLUDE,1.00
Negligible,Tea,667,0902.30,"Black tea (fermented), ≤3kg",BEVSPICES,INCLUDE,1.00
Negligible,Tea,667,0902.40,"Black tea, >3kg",BEVSPICES,INCLUDE,1.00
Not grown,Cocoa beans,661,1801.00,"Cocoa beans, whole or broken",BEVSPICES,INCLUDE,1.00
Not grown,Cocoa paste not defatted,662,1803.10,"Cocoa paste, not defatted",BEVSPICES,CONVERT,1.25
Not grown,Cocoa paste not defatted,662,1803.20,"Cocoa paste, wholly/partly defatted",BEVSPICES,CONVERT,1.18
